lag_time_ps,msd_A2
5.190000000000000000e+02,7.856625111977666620e+02
5.200000000000000000e+02,7.871499035518945675e+02
5.210000000000000000e+02,7.886315126175574051e+02
5.220000000000000000e+02,7.901179710218913215e+02
5.230000000000000000e+02,7.915999871335412763e+02
5.240000000000000000e+02,7.930849391469985221e+02
5.250000000000000000e+02,7.945595979978508012e+02
5.260000000000000000e+02,7.960349111899935224e+02
5.270000000000000000e+02,7.975212836946126345e+02
5.280000000000000000e+02,7.990189892428968506e+02
5.290000000000000000e+02,8.005300939287482151e+02
5.300000000000000000e+02,8.020344506511005420e+02
5.310000000000000000e+02,8.035434437389641289e+02
5.320000000000000000e+02,8.050488809061423581e+02
5.330000000000000000e+02,8.065449760356599427e+02
5.340000000000000000e+02,8.080368931027273902e+02
5.350000000000000000e+02,8.095338305775757135e+02
5.360000000000000000e+02,8.110230648353229981e+02
5.370000000000000000e+02,8.125103039271224361e+02
5.380000000000000000e+02,8.140036201563522127e+02
5.390000000000000000e+02,8.155031231629346848e+02
5.400000000000000000e+02,8.169993605326579882e+02
5.410000000000000000e+02,8.185003212821898160e+02
5.420000000000000000e+02,8.200000610473526876e+02
5.430000000000000000e+02,8.214976962747533662e+02
5.440000000000000000e+02,8.229863132081433150e+02
5.450000000000000000e+02,8.244887452071819780e+02
5.460000000000000000e+02,8.259882008868340790e+02
5.470000000000000000e+02,8.274807737414679423e+02
5.480000000000000000e+02,8.289751843214197606e+02
5.490000000000000000e+02,8.304847193180058866e+02
5.500000000000000000e+02,8.319929709189312916e+02
5.510000000000000000e+02,8.335070824175096504e+02
5.520000000000000000e+02,8.350120501863244726e+02
5.530000000000000000e+02,8.365089205458288006e+02
5.540000000000000000e+02,8.380201317076578107e+02
5.550000000000000000e+02,8.395247194723751818e+02
5.560000000000000000e+02,8.410299498016320285e+02
5.570000000000000000e+02,8.425349085700054275e+02
5.580000000000000000e+02,8.440371762623163931e+02
5.590000000000000000e+02,8.455339549598365920e+02
5.600000000000000000e+02,8.470335760008628085e+02
5.610000000000000000e+02,8.485538652022411270e+02
5.620000000000000000e+02,8.500677138260850825e+02
5.630000000000000000e+02,8.515785174056816231e+02
5.640000000000000000e+02,8.530814755698099816e+02
5.650000000000000000e+02,8.545707393232768254e+02
5.660000000000000000e+02,8.560675316281511869e+02
5.670000000000000000e+02,8.575531843618617813e+02
5.680000000000000000e+02,8.590456332042584791e+02
5.690000000000000000e+02,8.605324053921370933e+02
5.700000000000000000e+02,8.620133654872541911e+02
5.710000000000000000e+02,8.635043152159040574e+02
5.720000000000000000e+02,8.649994865309689658e+02
5.730000000000000000e+02,8.664813089000385844e+02
5.740000000000000000e+02,8.679635147927469916e+02
