r_nm,g_OO_r
8.574999999999999289e-01,9.993049257596776647e-01
8.625000000000000444e-01,1.002364312480934494e+00
8.675000000000000488e-01,1.000548598986451987e+00
8.725000000000001643e-01,1.003373103895490948e+00
8.775000000000000577e-01,9.982601755721154380e-01
8.824999999999999512e-01,1.005997013616132918e+00
8.874999999999999556e-01,1.002550487899394271e+00
8.925000000000000711e-01,1.002863639941838025e+00
8.975000000000001865e-01,1.001034744146690469e+00
9.025000000000000799e-01,1.003420201684483315e+00
9.074999999999999734e-01,1.006097033388328121e+00
9.124999999999999778e-01,1.002893323685867921e+00
9.175000000000000933e-01,1.002003176459468570e+00
9.225000000000000977e-01,1.003006787683863310e+00
9.274999999999999911e-01,1.003249510013484391e+00
9.324999999999998845e-01,1.001926808422020532e+00
9.375000000000000000e-01,1.001493103150165709e+00
9.425000000000001155e-01,1.003146800943353067e+00
9.475000000000001199e-01,1.000910956088366444e+00
9.525000000000000133e-01,1.001315814017435857e+00
9.575000000000001288e-01,9.988319102188586429e-01
9.625000000000000222e-01,1.001588802684356461e+00
9.675000000000000266e-01,1.000468004024878788e+00
9.725000000000001421e-01,1.000680928428631544e+00
9.775000000000000355e-01,1.002226104468646461e+00
9.825000000000001510e-01,1.001752814844323325e+00
9.875000000000000444e-01,1.000135876518684963e+00
9.925000000000000488e-01,1.000423653911471256e+00
9.975000000000001643e-01,1.003479184248711631e+00
